,index,fecha_dato,ncodpers,ind_empleado,pais_residencia,sexo,age,fecha_alta,ind_nuevo,antiguedad,indrel,ult_fec_cli_1t,indrel_1mes,tiprel_1mes,indresi,indext,conyuemp,canal_entrada,indfall,nomprov,ind_actividad_cliente,renta,segmento,month_id_x,month_next_id_x,month_id_y,month_next_id_y,variable,value
160334,1070002,2015-02-28,1267577,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160337,1076042,2015-02-28,1269719,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160441,685810,2015-02-28,493531,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160447,710363,2015-02-28,818884,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160454,718992,2015-02-28,761015,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160483,1156190,2015-02-28,950277,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160499,1214452,2015-02-28,1038187,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160500,1204632,2015-02-28,1106088,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160510,1199407,2015-02-28,1136470,UNKNOWN,UNKNOWN,UNKNOWN,40,2010-11-03,1,0.0,1.0,UNKNOWN,P,A,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,N,UNKNOWN,1.0,101777.58,UNKNOWN,2,3,2,3,ind_cco_fin_ult1,Dropped
160837,739593,2015-02-28,851555,N,ES,V,42,2009-09-14, 0,70.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,SEVILLA,1.0,112590.18,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
160855,709601,2015-02-28,819275,N,ES,V,69,2008-12-02, 0,59.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KFC,N,ASTURIAS,0.0,108655.08,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Dropped
161085,1017742,2015-02-28,1173005,N,ES,V,40,2013-09-05, 0,22.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KAT,N,ZARAGOZA,1.0,116159.01,02 - PARTICULARES,2,3,2,3,ind_cco_fin_ult1,Added
161113,1270758,2015-03-28,534514,N,ES,H,73,2005-05-26, 0,122.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFA,N,MADRID,1.0,248233.11,02 - PARTICULARES,3,4,3,4,ind_cco_fin_ult1,Added
161232,1256997,2015-03-28,555004,N,ES,H,30,2008-02-20, 0,89.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFA,N,MADRID,1.0,101661.15,02 - PARTICULARES,3,4,3,4,ind_cco_fin_ult1,Dropped
161240,1519790,2015-03-28,392688,N,ES,V,47,2002-11-26, 0,152.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KFC,N,MADRID,0.0,42456.93,02 - PARTICULARES,3,4,3,4,ind_cco_fin_ult1,Dropped
161248,1560104,2015-03-28,282678,N,ES,H,42,2001-10-16, 0,165.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KFC,N,MADRID,1.0,235024.11,01 - TOP,3,4,3,4,ind_cco_fin_ult1,Added
161274,1536812,2015-03-28,273519,N,ES,V,74,2001-09-21, 0,166.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KFC,N,MADRID,0.0,473826.63,02 - PARTICULARES,3,4,3,4,ind_cco_fin_ult1,Dropped
161372,1634936,2015-03-28,1193859,N,ES,H,28,2013-10-09, 0,21.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KHE,N,PONTEVEDRA,0.0,99093.39,03 - UNIVERSITARIO,3,4,3,4,ind_cco_fin_ult1,Dropped
161472,1522824,2015-03-28,385102,N,ES,V,50,2002-10-10, 0,153.0,1.0,UNKNOWN,1,I,S,N,UNKNOWN,KCC,N,MADRID,0.0,140644.53,02 - PARTICULARES,3,4,3,4,ind_cco_fin_ult1,Added
161534,1749705,2015-03-28,1025587,N,ES,V,27,2012-07-19, 0,36.0,1.0,UNKNOWN,1,A,S,N,UNKNOWN,KHE,N,LERIDA,1.0,51620.79,03 - UNIVERSITARIO,3,4,3,4,ind_cco_fin_ult1,Dropped
